fips,VALUE
01,277000
02,396000
04,462000
05,260000
06,869000
08,662000
09,460000
10,403000
12,433000
13,388000
15,947000
16,491000
17,289000
18,261000
19,241000
20,288000
21,271000
22,248000
23,414000
24,513000
25,646000
26,267000
27,364000
28,257000
29,273000
30,539000
31,290000
32,499000
33,499000
34,542000
35,396000
36,522000
37,390000
38,296000
39,255000
40,247000
41,522000
42,319000
44,518000
45,402000
46,340000
47,397000
48,349000
49,620000
50,395800
51,416000
53,677000
54,261000
55,326000
56,461000
